product,(All)
,
Row Labels,Sum of total_sales
1/1/2020,845141
1/2/2020,689410
1/3/2020,632573
1/4/2020,615080
1/5/2020,707829
1/6/2020,655750
1/7/2020,877176
1/8/2020,668084
1/9/2020,201829
1/10/2020,200469
1/11/2020,129556
1/12/2020,104982
1/13/2020,189096
1/14/2020,260022
1/15/2020,231208
1/16/2020,230912
1/17/2020,173013
1/18/2020,110225
1/19/2020,216162
1/20/2020,345305
1/21/2020,639432
1/22/2020,661210
1/23/2020,755277
1/24/2020,662710
1/25/2020,935936
1/26/2020,831952
1/27/2020,669511
1/28/2020,650504
1/29/2020,726062
1/30/2020,633776
1/31/2020,1003554
2/1/2020,914122
2/2/2020,755660
2/3/2020,765834
2/4/2020,787657
2/5/2020,704363
2/6/2020,1268868
2/7/2020,1006480
2/8/2020,882372
2/9/2020,819377
2/10/2020,835490
2/11/2020,339850
2/12/2020,421680
2/13/2020,478492
2/14/2020,478296
2/15/2020,358246
2/16/2020,323070
2/17/2020,373234
2/18/2020,335464
2/19/2020,377370
2/20/2020,409062
2/21/2020,283293
2/22/2020,251828
2/23/2020,294824
2/24/2020,353422
2/25/2020,345765
2/26/2020,376885
2/27/2020,236197
2/28/2020,220787
3/1/2020,237739
3/2/2020,294002
3/3/2020,1044237
3/4/2020,1179817
3/5/2020,845510
3/6/2020,737964
3/7/2020,729659
3/8/2020,940376
3/9/2020,1144502
3/10/2020,1263835
3/11/2020,890762
3/12/2020,795908
3/13/2020,765020
3/14/2020,976806
3/15/2020,882914
3/16/2020,963394
3/17/2020,771170
3/18/2020,613415
3/19/2020,103546
3/20/2020,194736
3/21/2020,161037
3/22/2020,174218
3/23/2020,174674
3/24/2020,112592
3/25/2020,92494
3/26/2020,164292
3/27/2020,226105
3/28/2020,205376
3/29/2020,225916
3/30/2020,169590
3/31/2020,578971
4/1/2020,197440
4/2/2020,322205
4/3/2020,216796
4/4/2020,250643
4/5/2020,169144
4/6/2020,116478
4/7/2020,267056
4/8/2020,322205
4/9/2020,250050
4/10/2020,249532
4/11/2020,169002
4/12/2020,116522
4/13/2020,389842
4/14/2020,445206
4/15/2020,382246
4/16/2020,383350
4/17/2020,867447
4/18/2020,967276
4/19/2020,1302345
4/20/2020,1095228
4/21/2020,936532
4/22/2020,885535
4/23/2020,885949
4/24/2020,7050982
4/25/2020,1055529
4/26/2020,1256068
4/27/2020,1304025
4/28/2020,957780
4/29/2020,890563
4/30/2020,904030
5/1/2020,925566
5/2/2020,1116482
5/3/2020,1251096
5/4/2020,877910
5/5/2020,817776
5/6/2020,828576
5/7/2020,918442
5/8/2020,295737
5/9/2020,323208
5/10/2020,197702
5/11/2020,183255
5/12/2020,199800
5/13/2020,251825
5/14/2020,324050
5/15/2020,353250
5/16/2020,240278
5/17/2020,266960
5/18/2020,288390
5/19/2020,409490
5/20/2020,466977
5/21/2020,501648
5/22/2020,332500
5/23/2020,332875
5/24/2020,3586441
5/25/2020,430275
5/26/2020,184212
5/27/2020,231288
5/28/2020,231210
5/29/2020,153822
5/30/2020,141223
5/31/2020,255750
6/1/2020,224968
6/2/2020,231157
6/3/2020,230734
6/4/2020,154176
6/5/2020,127130
6/6/2020,218158
6/7/2020,295182
6/8/2020,261670
6/9/2020,283150
6/10/2020,216690
6/11/2020,125674
6/12/2020,250260
6/13/2020,395880
6/14/2020,268748
6/15/2020,308880
6/16/2020,184950
6/17/2020,133304
6/18/2020,286864
6/19/2020,339075
6/20/2020,266480
6/21/2020,267320
6/22/2020,185310
6/23/2020,133120
6/24/2020,409375
6/25/2020,576345
6/26/2020,513912
6/27/2020,511736
6/28/2020,409375
6/29/2020,327360
6/30/2020,692836
7/1/2020,677447
7/2/2020,588674
7/3/2020,544900
7/4/2020,430686
7/5/2020,499838
7/6/2020,589725
7/7/2020,676110
7/8/2020,616170
7/9/2020,480649
7/10/2020,442720
7/11/2020,442255
7/12/2020,328208
7/13/2020,429984
7/14/2020,462354
7/15/2020,323505
7/16/2020,287504
7/17/2020,347992
7/18/2020,1035546
7/19/2020,574658
7/20/2020,696002
7/21/2020,489684
7/22/2020,472304
7/23/2020,464106
7/24/2020,545923
7/25/2020,591247
7/26/2020,730092
7/27/2020,539950
7/28/2020,553311
7/29/2020,601505
7/30/2020,792314
7/31/2020,890650
8/1/2020,1019609
8/2/2020,706050
8/3/2020,703046
8/4/2020,673956
8/5/2020,833133
8/6/2020,767868
8/7/2020,768985
8/8/2020,571540
8/9/2020,548482
8/10/2020,670760
8/11/2020,729019
8/12/2020,801549
8/13/2020,734337
8/14/2020,571875
8/15/2020,571388
8/16/2020,707410
8/17/2020,791213
8/18/2020,890030
8/19/2020,795105
8/20/2020,613906
8/21/2020,570852
8/22/2020,686734
8/23/2020,883250
8/24/2020,397361
8/25/2020,446616
8/26/2020,462649
8/27/2020,293832
8/28/2020,330197
8/29/2020,512143
8/30/2020,388151
8/31/2020,436934
9/1/2020,462429
9/2/2020,273632
9/3/2020,307409
9/4/2020,470880
9/5/2020,402432
9/6/2020,399393
9/7/2020,882296
9/8/2020,726106
9/9/2020,814562
9/10/2020,1154483
9/11/2020,1144432
9/12/2020,929305
9/13/2020,858469
9/14/2020,753503
9/15/2020,804178
9/16/2020,1132497
9/17/2020,749490
9/18/2020,553860
9/19/2020,465993
9/20/2020,359002
9/21/2020,424200
9/22/2020,570568
9/23/2020,592552
9/24/2020,436730
9/25/2020,346725
9/26/2020,335070
9/27/2020,409250
9/28/2020,507265
9/29/2020,615120
9/30/2020,422605
10/1/2020,372041
10/2/2020,358190
10/3/2020,430773
10/4/2020,549407
10/5/2020,598664
10/6/2020,410976
10/7/2020,382804
10/8/2020,397398
10/9/2020,499980
10/10/2020,608632
10/17/2020,161823
10/18/2020,89645
10/19/2020,64012
10/20/2020,454996
10/21/2020,494112
10/22/2020,521316
10/23/2020,534844
10/24/2020,360332
10/25/2020,544213
10/26/2020,470954
10/27/2020,520666
10/28/2020,529269
10/29/2020,548638
10/30/2020,357168
10/31/2020,575416
11/1/2020,334627
11/2/2020,443583
11/3/2020,478211
11/4/2020,492885
11/5/2020,372099
11/6/2020,438059
11/7/2020,355317
11/8/2020,407052
11/9/2020,453892
11/10/2020,530028
11/11/2020,358366
11/12/2020,416708
11/13/2020,466530
11/14/2020,481409
11/15/2020,548993
11/16/2020,195914
11/17/2020,71862
11/18/2020,62801
11/19/2020,53940
11/20/2020,77205
11/21/2020,183043
11/22/2020,282840
11/23/2020,138150
11/24/2020,92268
