,retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,sales_method
0,Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,In-store
1,Foot Locker,1185732,2020-01-01,Northeast,Pennsylvania,Philadelphia,Women's Apparel,68,83,5644,2426.92,Online
2,Foot Locker,1185732,2020-01-01,Northeast,Pennsylvania,Philadelphia,Women's Apparel,75,275,206250,61875,Outlet
3,Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,34,384,13056,6789.12,Outlet
4,Foot Locker,1185732,2020-01-01,Northeast,Pennsylvania,Philadelphia,Women's Apparel,53,83,4399,1407.68,Outlet
5,Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,47,336,15792,9633.12,Online
6,West Gear,1128299,2020-02-01,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,35,450,157500,63000,Outlet
7,West Gear,1128299,2020-02-01,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,27,158,4266,1791.72,Outlet
8,Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,47,260,12220,5132.4,Online
9,West Gear,1128299,2020-02-01,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,32,122,3904,1991.04,Online
10,Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,36,320,11520,4032,Outlet
11,Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,50,1000,500000,150000,In-store
12,West Gear,1128299,2020-03-01,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,44,117,5148,1904.76,Online
13,West Gear,1128299,2020-03-01,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,35,135,4725,1464.75,Outlet
14,Foot Locker,1185732,2020-03-01,Northeast,New York,New York,Women's Street Footwear,32,350,11200,4144,Outlet
15,Foot Locker,1185732,2020-03-01,Northeast,New York,New York,Women's Street Footwear,40,1000,400000,140000,In-store
16,West Gear,1128299,2020-03-01,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,45,450,202500,50625,Outlet
17,Foot Locker,1185732,2020-03-01,Northeast,New York,New York,Women's Street Footwear,36,250,9000,4140,Online
18,West Gear,1128299,2020-04-01,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,36,140,5040,2368.8,Outlet
19,West Gear,1128299,2020-04-01,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,41,117,4797,2590.38,Online
20,West Gear,1128299,2020-04-01,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,45,450,202500,81000,Outlet
21,Foot Locker,1185732,2020-04-01,Northeast,New York,New York,Women's Athletic Footwear,36,281,10116,3742.92,Outlet
