retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,sales_method
Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,36,281,10116,3742.92,Outlet
Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,41,247,10127,4658.42,Online
Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45,850,382500,133875.0,In-store
West Gear,1128299,2020-01-05,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,45,300,135000,47250.0,Outlet
West Gear,1128299,2020-01-05,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,34,90,3060,1254.6,Outlet
West Gear,1128299,2020-01-05,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,43,87,3741,1870.5,Online
West Gear,1128299,2020-01-11,West,Nevada,Las Vegas,Women's Athletic Footwear,45,275,123750,43312.5,Outlet
West Gear,1128299,2020-01-11,West,Nevada,Las Vegas,Women's Athletic Footwear,30,85,2550,1045.5,Outlet
West Gear,1128299,2020-01-11,West,Nevada,Las Vegas,Women's Athletic Footwear,44,74,3256,1497.76,Online
West Gear,1128299,2020-01-17,West,Nevada,Las Vegas,Women's Athletic Footwear,50,84,4200,1974.0,Online
West Gear,1128299,2020-01-17,West,Nevada,Las Vegas,Women's Athletic Footwear,55,300,165000,57750.0,Outlet
West Gear,1128299,2020-01-17,West,Nevada,Las Vegas,Women's Athletic Footwear,41,93,3813,1563.33,Outlet
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,32,248,7936,3015.68,Outlet
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129937.5,Outlet
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,44,206,9064,4441.36,Online
West Gear,1128299,2020-01-23,West,Nevada,Las Vegas,Women's Athletic Footwear,59,75,4425,2035.5,Online
West Gear,1128299,2020-01-23,West,Nevada,Las Vegas,Women's Athletic Footwear,60,300,180000,63000.0,Outlet
West Gear,1128299,2020-01-23,West,Nevada,Las Vegas,Women's Athletic Footwear,40,90,3600,1476.0,Outlet
Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,31,240,7440,2976.0,Outlet
Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,45,800,360000,126000.0,Outlet
Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,43,216,9288,4644.0,Online
West Gear,1128299,2020-01-29,West,Nevada,Las Vegas,Women's Athletic Footwear,57,90,5130,2565.0,Online
West Gear,1128299,2020-01-29,West,Nevada,Las Vegas,Women's Athletic Footwear,47,105,4935,2270.1,Outlet
West Gear,1128299,2020-01-29,West,Nevada,Las Vegas,Women's Athletic Footwear,60,300,180000,72000.0,Outlet
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,31,289,8959,3314.83,Outlet
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129937.5,Outlet
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,41,239,9799,4801.51,Online
West Gear,1128299,2020-02-04,West,Nevada,Las Vegas,Women's Athletic Footwear,60,425,255000,102000.0,Outlet
West Gear,1128299,2020-02-04,West,Nevada,Las Vegas,Women's Athletic Footwear,58,111,6438,3283.38,Online
West Gear,1128299,2020-02-04,West,Nevada,Las Vegas,Women's Athletic Footwear,47,145,6815,3066.75,Outlet
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50,850,425000,148750.0,Outlet
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,46,230,10580,5078.4,Online
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,33,289,9537,3814.8,Outlet
West Gear,1128299,2020-02-10,West,Nevada,Las Vegas,Women's Athletic Footwear,55,117,6435,3153.15,Online
West Gear,1128299,2020-02-10,West,Nevada,Las Vegas,Women's Athletic Footwear,46,140,6440,2704.8,Outlet
West Gear,1128299,2020-02-10,West,Nevada,Las Vegas,Women's Athletic Footwear,60,450,270000,94500.0,In-store
West Gear,1128299,2020-02-16,West,Nevada,Las Vegas,Women's Athletic Footwear,64,124,7936,3729.92,Online
West Gear,1128299,2020-02-16,West,Nevada,Las Vegas,Women's Athletic Footwear,65,475,308750,108062.5,In-store
West Gear,1128299,2020-02-16,West,Nevada,Las Vegas,Women's Athletic Footwear,42,152,6384,2681.28,Outlet
West Gear,1128299,2020-02-22,West,Nevada,Las Vegas,Women's Athletic Footwear,43,124,5332,1866.2,Outlet
West Gear,1128299,2020-02-22,West,Nevada,Las Vegas,Women's Athletic Footwear,60,400,240000,72000.0,In-store
West Gear,1128299,2020-02-22,West,Nevada,Las Vegas,Women's Athletic Footwear,58,112,6496,2858.24,Online
West Gear,1128299,2020-02-28,West,Nevada,Las Vegas,Women's Athletic Footwear,54,105,5670,2381.4,Online
West Gear,1128299,2020-02-28,West,Nevada,Las Vegas,Women's Athletic Footwear,60,350,210000,63000.0,In-store
West Gear,1128299,2020-02-28,West,Nevada,Las Vegas,Women's Athletic Footwear,43,119,5117,1688.61,Outlet
West Gear,1128299,2020-03-06,West,Nevada,Las Vegas,Women's Athletic Footwear,43,132,5676,1986.6,Outlet
West Gear,1128299,2020-03-06,West,Nevada,Las Vegas,Women's Athletic Footwear,60,400,240000,72000.0,In-store
West Gear,1128299,2020-03-06,West,Nevada,Las Vegas,Women's Athletic Footwear,56,108,6048,2479.68,Online
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,47,261,12267,5520.15,Online
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,38,297,11286,4288.68,Outlet
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500.0,Outlet
